;textID;text;sentiment;aws_obj_score;aws_mixed_score;aws_mixed_score;aws_neg_score;aws_final_score;aws_pred_sent;azure_obj_score;azure_pos_score;azure_neg_score;azure_final_score;azure_pred_sent;sent_vs_azure;sent_vs_aws;aws_vs_azure;aws_vs_azure_mixed;all_true_sent;all_false_sent;same_but_false;azure_t_vs_aws_f;aws_t_vs_azure_f
0;58674a6d03;is ready for a productive friday. one of the last of the year;positive;0.337489515542984;4.1880830394802615e-05;0.64102703332901;0.02144155465066433;0.6195854786783457;positive;0.07;0.92;0.01;0.91;positive;True;True;True;False;True;False;False;False;False
1;818480ecfc; I couldn`t get used to the columns in tweetdeck.  There was only room for 4 or 5 columns on my macbook.;neutral;0.06812205165624619;5.036500078858808e-05;0.013989130966365336;0.9178383946418762;-0.9038492636755108;negative;0.8;0.01;0.19;-0.18;neutral;True;False;False;False;False;False;False;True;False
2;c7ff724662;Just got done watching Bedtime Stories! Love that movie!;positive;0.0063378983177244655;3.4581744330353104e-06;0.9932519793510436;0.00040661307866685087;0.9928453662723769;positive;0.08;0.91;0.01;0.9;positive;True;True;True;False;True;False;False;False;False
3;c7b78c1b26;btw , , , and , i ordered some of yer merch yesterday.!  <33333333333;positive;0.6840142607688904;4.276801519154105e-06;0.3154444098472595;0.0005370965227484703;0.31490731332451105;neutral;0.0;1.0;0.0;1.0;positive;True;False;False;False;False;False;False;True;False
4;84c5466055;Feels all kinds of not so well right now;negative;0.032807990908622735;0.16039596498012546;0.022581586614251137;0.7842145562171936;-0.7616329696029425;negative;0.0;0.0;1.0;-1.0;negative;True;True;True;False;True;False;False;False;False
5;a3e2b9ffd2; waah. We`re no longer your peeps.;neutral;0.5167722702026367;0.002747992752119899;0.2081967890262604;0.27228301763534546;-0.06408622860908507;neutral;0.09;0.03;0.88;-0.85;negative;False;True;False;False;False;False;False;False;True
6;17e6c97023; what? You won`t be two blocks away any more?;neutral;0.7152835726737976;7.034368900349364e-05;0.03021465614438057;0.25443148612976074;-0.22421682998538014;neutral;0.89;0.07;0.04;0.030000000000000006;neutral;True;True;True;False;True;False;False;False;False
7;aa43fdcef2;" funny you should say...am filling it out as we speak ;) cheers!";positive;0.00694907596334815;2.2387244825949886e-05;0.9924210906028748;0.0006075388519093393;0.9918135517509654;positive;0.0;1.0;0.0;1.0;positive;True;True;True;False;True;False;False;False;False
8;5ca9a346d6; going through your tweets right now, probably missed all the good ones in the last 4 hours;neutral;0.21374434232711792;0.4856316447257996;0.20501312613487244;0.09561086446046828;0.10940226167440414;mixed;0.02;0.9;0.08;0.8200000000000001;positive;False;False;False;False;False;True;False;False;False
9;63909798fe; besides when u come and visit ill have more room for u!;neutral;0.07834964245557785;2.882039325413644e-06;0.9190660119056702;0.002581520238891244;0.9164844916667788;positive;0.02;0.0;0.98;-0.98;negative;False;False;False;False;False;True;False;False;False
10;43fc60ce13;would like a hug and a kiss from Eric. Long distances really really stink;negative;0.2236296385526657;0.04749854654073715;0.6455840468406677;0.08328774571418762;0.5622963011264801;positive;0.04;0.46;0.5;-0.03999999999999998;mixed;False;False;False;False;False;True;False;False;False
11;f631826b87;Still hating the whole Twitter replies thing. I feel like I`m missing bits.  #fixreplies;negative;0.01905614696443081;1.5089707403603825e-06;0.00042207678779959684;0.9805203080177308;-0.9800982312299312;negative;0.0;0.0;1.0;-1.0;negative;True;True;True;False;True;False;False;False;False
