;textID;text;sentiment
0;58674a6d03;is ready for a productive friday. one of the last of the year;0
1;818480ecfc; I couldn`t get used to the columns in tweetdeck.  There was only room for 4 or 5 columns on my macbook.;1
2;c7ff724662;Just got done watching Bedtime Stories! Love that movie!;0
4;84c5466055;Feels all kinds of not so well right now;2
6;17e6c97023; what? You won`t be two blocks away any more?;1
7;aa43fdcef2;" funny you should say...am filling it out as we speak ;) cheers!";0
8;5ca9a346d6; going through your tweets right now, probably missed all the good ones in the last 4 hours;1
11;f631826b87;Still hating the whole Twitter replies thing. I feel like I`m missing bits.  #fixreplies;2
12;4a0d92c598; mon ami since 5 years young  I loveeee her. Foreverrr;0
13;fb96065ecc; totally agree;1
14;7ccc3bafa7;lamentablemente paso  #jrztwitterlunch;2
15;74f8315d8a;" Wow, that is good  I`m on Mac too with XP via Parallels if you ever need a tester ;)";0
19;5ff9641dc0;Another great song to sing along with....    ? http://blip.fm/~5jhtq;0
20;4f8932c7f9;favorite shirt ruined:death by bleach  #fb;2
21;2c9ef954f2; your face makes people laugh. cause you`re so ugly. so you`re half-way there;1
22;ea6111edea; don`t you agree?;1
24;e47fb0bfe5;Stupid freshmen ruined theatre class.. Now we don`t get to play warm-up games for the rest of the school year;2
25;a965a49d12;Mobile phone check-in? Another fail! American`s service came close, but crashed at the gate. I`m now 0 for 3.;2
27;fbf335c4aa;is cursing AB`s wardrobe handles. One drew blood;2
28;8b8ac83fb2;bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!;2
29;14a98e2f09;  I know! they were running out though, Soph had to get a massive one...;1
32;d861af4635;Just saw a land rover pull into the school parking lot and thought it was spencer;1
33;492959359d;_navarro I wish this area offered chinese food delivery;1
35;57c787ac17;I think I`ve got invisible glass shards in my hands cause my fingers keep having painful pokey feelings;2
36;2fa4d0b1b2;i wanna do something tonight, but that doesnt look very promising;2
38;f37cf7cfb8;Ugh. I hate bad grades. 1st time I`ve ever failed a class and no As- B, B, D, W, I, I! Not like me at all;2
39;d02b6e32c7;In the UK with no phone service  oh yea and still sick (cough, sniff);2
40;391708c17e; Aww Thanks!    Glad I appreciated the weather so much yesterday!;0
42;35c919dfab; morning. hope its a good day despite the revising;0
43;b00d7eec65; you called me? didn`t get that.  nest time for sure. maybe i`ll come to LA soon. i hella wana go to Disneyland.;1
45;bdf5a8fe4c; eh, you`re a really nice girl   How are you? miss youuuuuuu;0
46;2bd6726389;HAPPY MOTHER`S DAY TO ALL OUR MOMS!;0
47;3a85ff666d;I need to get some shut eye... But I just can`t let`s try 1 more time. Ta Ta Twitterworld;1
48;dd4978c8b7; I`m suffering from the Internet that works bad, only sites hosted on russian servers are available for me;2
50;ed084a1fa7;Happy monday  up and about going to tavares today. Hope everyone has a blessed day!;0
52;fe0dc960ea;mum just made me cry coz she said something so sweet to me  i love her so much! MUMS ARE THE BEST!;0
54;98c0376ba8; bahah that would be really funny she would be really cut haha;1
55;93000a69d3;Drinking coffee....MMMMM.....coffee;1
56;6ec8eb9348; Ohhhh! Ok! thought that I was going nuts!! Maybe they will pass through here on the way back!;2
57;c0b5db0b3d; Thanx sis I`ll b sure to let them know how many people r praying w/them...;0
58;a6c4a1d9c7;_Mom Maybe people would start looking for us... like 'where`s Waldo' but 'where`s the CKC'?;1
59;f2bc1cff88;Just had mothers day lunch here  http://twitpic.com/4wfeo;1
60;2a2b8edf2b;happy mother`s day, mommy! hope you will have a good day;0
63;ff6d7db82a;Back from SOAP, soooo fun.;0
67;3646168972;Whataburger closing all locations but tally  so harsh, might have to transfer schools;2
68;2034d6dcb2; yes ma`am u do have a pretty smile. but you also won`t eat chipotle with me.;0
69;b7c40eced7;i am up - dont want to be though  wish i had slept in more heather woke me up. i`ve got to work later but first i will read some twilight!;0
70;417aa1add9;#Beijing Good massage for you & Sexy girl & 100% real photo  13341015518 - w4 (Beijing): Hi, .. http://tinyurl.com/c48m6r;1
71;c6d9ab4ad1;http://twitpic.com/4wry2 - look, , the rosemary in my back garden, in CameraBag`s 'Lolo' mode;1
73;bb09bdd8b2;i dyed my hair back to super black again!;1
74;ff1462ff46;Mourning Venus` Third Round Loss....;1
76;77dbfbfb73;Tonight`s SNL does not dissapoint. LOL;0
77;b26deb5da5; same thing happens to me all the time;1
78;7c2a0bb3de;Loving the cairns clan;0
79;672988516f; YES!!;1
80;93e36f1caf;Don`t know what to do right now...pretty bored, but I refuse to study. Any suggestions?;2
81;93cc9e2e1d;I am officially a kindergarten cop;1
82;a34bfcb613;making margaritas and about to watch Milk. Good times;0
84;e01f0511a0;touchin the starss;1
85;894e188d01;HAPPY MOTHERS DAY.!;0
86;d29ac7e599; What happened to Dave?;1
87;f383ad9856;Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!;0
88;8ba7a1720e; and by the way it`s short stack, not sway sway  sway sway baby is a song of theirs;1
89;74eb9eb872;Why did I agree to work on this gorgeous day?;0
90;16370c0a2e;I`m missing crab legs and attending my going away instead!;1
91;f079511098;New baby arrived yesterday. A fab baby boy at 2.8 kilo  Very proud and happy;0
93;33c3801dfd;i`m just sooo in love....i think;0
94;93bd3f9324; ohhhhh with ya;1
95;c5bee8f356;Just chillin`.. I`m a bit bored boohoo  !;2
96;807a71e9d1; i cannot deal w/ this tweet. lol.;1
97;ca4b9c7919;woke up from napping  finally got the sleep i needed;0
99;9af20a2f7a;HaPPy Mothers Day!!!;1
100;420d46f643;It`s starting to look like the  website may not happen in any form;1
101;6dee75f6ce; I`m on msn now;1
102;c16a52d2a7; nice clutch;0
105;bcb2863df2; if I do that, I`ll have no pc;1
106;53ccdd0572; You bet!...I`ll be there in spirit (I`m in the UK really LOL) Like the pic BTW ****  x;0
107;6649f3558c; Not a prob hun;1
108;fbbd0a36a0;Sitting here twittering~~up at 3 am yuk! I want some messages!  Blue Monday!!;1
109;1bfbfda136;sigh.. stayed up late cause was on a role w/ assessment, now I`m so tired my eyes r stinging & my head hurts.. & I still need 500 words;2
110;448055f8d6;my pic is back..  out of the blue..;1
111;50beac3041;_west and by music I meant awesome Christian artists.;0
112;29dac23fcb; i can`t figure out how to listen to it from the internet;1
114;26e4fa628a;http://twitpic.com/4wh0l - im in love wit this fool from college hill;0
115;fa6fd14810; congrads on engagement/bridal shower! sounds like fun for upcoming 'jump out of the audience'  wd love to join in!;0
116;9fcaa348c0;At the reception eating some nasty **** pasta Woot! But other than that its beautiful!;1
117;8e39cb3b6f;I only have one day left in school  My 16th is approaching;1
118;79207fbab3;Come on Kirk, hook up your Wii to the wifi....you can do eeet!;1
119;87ba30555f;My new design portfolio is finally on the web: http://www.designia.nl - Still needs some tweaking on the details but it`s ok for now,;1
120;533a07da93;Golden Girls marathon about to end  #lofnotc;1
121;9bda7c0138; I agree. I danced with my dad to 'Kind & Generous' at my wedding. HUGE fan.;0
122;58cbdac642;Is at the botanical gardens and its beautiful but she forgot an extra memory card so no pictures today;1
124;96b9af9a9b;forgot the montel quote  and it was a good one..;0
126;cf94d6bb60; _defcon1 I gather you guys continued the drinking after I left?;1
127;ab447d7be6;Kakabalik lang from Tarlac. Good aftie.;0
128;54c81c54bf;woke up.;1
129;bd86d1998e;Just finished watching He`s Just Not That Into You.  Loved it.;0
130;febc97f069; LOLL im a college girl...bahahah i love these blogs they`re so funny!;0
132;98e834b2fa;Ughh. That Miley creature song has infested itself in my brain!;2
133;77f0ca1130;butterfly fly away- miley ray  , oh & happy mothers day <3 love u mami.;0
135;303b1cad71;Really!;1
136;d1d2309e99;i hate rain and people.;2
138;d2d487b0e9; haha. Hope U have a Great Laugh as Laughter is the Best Medicine;0
139;4d519b3bc7; that is definitely an easier way of saying it, yes;0
140;f9e26a302b; Hahahahahahahahahah! That tickled me so much!;0
141;ffb65346f7;going to bed. i love the jonas brothers!! the last time me and megan were together was the weekend of the premiere of JONAS!! -lauryn <33;0
142;103c6d1b10;Finally. Deleted her number from my phone contacts  #heartbreak;2
143;c3af043193;Morning all. I appear to have a bit of a sore head. Perhaps the bag of pork scratchings for dinner wasn`t such a good idea;2
144;26b3a9cf93;sooooooo NOT happy, wattching disney channel....rubbish rubbish rubbishhhhhh, didnt get my jonas 3d poster  the dude wasnt there but im..;2
145;1841a654de;Baby baby, it`s gonna be all right when I`m by your side and the whole world turns against you... I ? it when my Ipod randoms BSB songs;0
146;917ebb327b;wonders why am I so clumsy lately?  http://plurk.com/p/x28ka;2
147;ba5360e2d7;Getting ready to go to sleeep! Grinding early in the morning! Yay, money!;0
150;24804e84b1;Just finished cleaning the bathroom.  Now I smell like clorox;1
151;3b50246867;Link per my daughter  us.mobile.reuters.com/mobile/m/AnyArticle/p.rdt?URL=http://www.reuters.com/article/bigMoney/idUS1284981420090508;1
153;0039c7e4a4;is gonna have an irish wedding;1
154;2505a44c46;damnnn this day came to fast, but i cherished all the moment i had;1
156;d715925ecd; That would panic me a little!  Maybe you can read on an orbitron at the gym like I do...when all else fails?!?;2
