,Unnamed: 0,textID,text,sentiment,norm_obj_score,norm_pos_score,norm_neg_score,norm_final_score,pred_sent
0,5415,58674a6d03,is ready for a productive friday. one of the last of the year,positive,0.07,0.92,0.01,0.91,positive
1,10421,818480ecfc, I couldn`t get used to the columns in tweetdeck.  There was only room for 4 or 5 columns on my macbook.,neutral,0.8,0.01,0.19,-0.18,neutral
2,7985,c7ff724662,Just got done watching Bedtime Stories! Love that movie!,positive,0.08,0.91,0.01,0.9,positive
3,13728,c7b78c1b26,"btw , , , and , i ordered some of yer merch yesterday.!  <33333333333",positive,0.0,1.0,0.0,1.0,positive
4,22378,84c5466055,Feels all kinds of not so well right now,negative,0.0,0.0,1.0,-1.0,negative
5,12544,a3e2b9ffd2, waah. We`re no longer your peeps.,neutral,0.09,0.03,0.88,-0.85,negative
6,1523,17e6c97023, what? You won`t be two blocks away any more?,neutral,0.89,0.07,0.04,0.030000000000000006,neutral
7,20946,aa43fdcef2, funny you should say...am filling it out as we speak ;) cheers!,positive,0.0,1.0,0.0,1.0,positive
8,19143,5ca9a346d6," going through your tweets right now, probably missed all the good ones in the last 4 hours",neutral,0.02,0.9,0.08,0.8200000000000001,positive
9,15454,63909798fe, besides when u come and visit ill have more room for u!,neutral,0.02,0.0,0.98,-0.98,negative
10,13764,43fc60ce13,would like a hug and a kiss from Eric. Long distances really really stink,negative,0.04,0.46,0.5,-0.03999999999999998,mixed
11,16220,f631826b87,Still hating the whole Twitter replies thing. I feel like I`m missing bits.  #fixreplies,negative,0.0,0.0,1.0,-1.0,negative
12,8939,4a0d92c598, mon ami since 5 years young  I loveeee her. Foreverrr,positive,0.06,0.93,0.01,0.92,positive
13,18080,fb96065ecc, totally agree,positive,0.99,0.0,0.01,-0.01,neutral
14,17895,7ccc3bafa7,lamentablemente paso  #jrztwitterlunch,neutral,0.21,0.35,0.44,-0.09000000000000002,negative
15,23347,74f8315d8a," Wow, that is good  I`m on Mac too with XP via Parallels if you ever need a tester ;)",positive,0.0,1.0,0.0,1.0,positive
16,12248,e5b3486ba2,"wow, nothing like a sale to perk up a girl`s evening, huh!",positive,0.01,0.98,0.01,0.97,positive
17,14842,40c25ade49,"me 10 - 630, andrew 8 - 4. No idea about the rest, I think it was Ben and Princeton which could be fun  lol I`m going to be late",positive,0.0,0.98,0.02,0.96,positive
18,6141,753afb695b,Yesssssssssss! A rocket to the moon is  going on warped!,neutral,0.15,0.41,0.44,-0.030000000000000027,mixed
19,22033,5ff9641dc0,Another great song to sing along with....    ? http://blip.fm/~5jhtq,positive,0.0,1.0,0.0,1.0,positive
20,13855,4f8932c7f9,favorite shirt ruined:death by bleach  #fb,negative,0.0,0.06,0.94,-0.8799999999999999,negative
21,21185,2c9ef954f2, your face makes people laugh. cause you`re so ugly. so you`re half-way there,negative,0.01,0.49,0.5,-0.010000000000000009,mixed
22,7994,ea6111edea, don`t you agree?,neutral,0.86,0.01,0.13,-0.12000000000000001,neutral
23,15824,aa7e1f4fe4,someones dead on army wives. Dad just laughed and Mum got annoyed with him. I wanna watch Britains Got Talent,neutral,0.0,0.33,0.67,-0.34,mixed
24,13069,e47fb0bfe5,Stupid freshmen ruined theatre class.. Now we don`t get to play warm-up games for the rest of the school year,negative,0.0,0.0,1.0,-1.0,negative
25,13480,a965a49d12,"Mobile phone check-in? Another fail! American`s service came close, but crashed at the gate. I`m now 0 for 3.",negative,0.01,0.0,0.99,-0.99,negative
26,26337,5ec244dacc,"ONE MO TIME BECUZ  HASNT SEEN IT YET!!! AND SHES SOO **** COOL, ILL POST IT JUST 4 HER  http://bbltwt.com/0mqko",positive,0.22,0.02,0.76,-0.74,negative
27,26753,fbf335c4aa,is cursing AB`s wardrobe handles. One drew blood,negative,0.28,0.0,0.72,-0.72,negative
28,4024,8b8ac83fb2,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",neutral,0.01,0.33,0.66,-0.33,negative
29,16222,14a98e2f09,"  I know! they were running out though, Soph had to get a massive one...",positive,0.87,0.05,0.08,-0.03,neutral
30,18232,1e7b0c1a1b,Got the BrainBone daily question right!  - http://tinyurl.com/c9ryqc,neutral,0.05,0.94,0.01,0.9299999999999999,positive
31,18890,b2bea50fa1,": Yeah, I fell asleep  I`m sorry. No way in the world I was waking up @ 7am lol. I had to work @ 9am.",negative,0.03,0.32,0.65,-0.33,mixed
32,6648,d861af4635,Just saw a land rover pull into the school parking lot and thought it was spencer,neutral,0.83,0.05,0.12,-0.06999999999999999,neutral
33,19521,492959359d,_navarro I wish this area offered chinese food delivery,positive,0.68,0.28,0.04,0.24000000000000002,neutral
34,15631,6ccee02afb, lame right?  do u know what dates you`ll be in Cali?,negative,0.0,0.0,1.0,-1.0,negative
35,26028,57c787ac17,I think I`ve got invisible glass shards in my hands cause my fingers keep having painful pokey feelings,negative,0.0,0.0,1.0,-1.0,negative
36,3028,2fa4d0b1b2,"i wanna do something tonight, but that doesnt look very promising",negative,0.02,0.01,0.97,-0.96,negative
37,7682,38b6a0f71b, i can so sympathise with that,negative,0.0,0.0,1.0,-1.0,negative
38,20115,f37cf7cfb8,"Ugh. I hate bad grades. 1st time I`ve ever failed a class and no As- B, B, D, W, I, I! Not like me at all",negative,0.02,0.0,0.98,-0.98,negative
39,15664,d02b6e32c7,"In the UK with no phone service  oh yea and still sick (cough, sniff)",negative,0.0,0.0,1.0,-1.0,negative
40,17513,391708c17e, Aww Thanks!    Glad I appreciated the weather so much yesterday!,positive,0.0,1.0,0.0,1.0,positive
41,26829,dc9166b505, and i want to let you know im here for vfc no matter what happens and yes i need a hug to bad i live in delaware,negative,0.0,0.0,1.0,-1.0,negative
42,9637,35c919dfab, morning. hope its a good day despite the revising,positive,0.0,1.0,0.0,1.0,positive
43,22824,b00d7eec65, you called me? didn`t get that.  nest time for sure. maybe i`ll come to LA soon. i hella wana go to Disneyland.,neutral,0.23,0.29,0.48,-0.19,mixed
44,8381,cae3d9d9bd,i`m new!!!!! dunno whatta doo!,neutral,0.31,0.06,0.63,-0.5700000000000001,negative
45,15651,bdf5a8fe4c," eh, you`re a really nice girl   How are you? miss youuuuuuu",neutral,0.05,0.94,0.01,0.9299999999999999,positive
46,12169,2bd6726389,HAPPY MOTHER`S DAY TO ALL OUR MOMS!,positive,0.27,0.72,0.01,0.71,positive
47,25381,3a85ff666d,I need to get some shut eye... But I just can`t let`s try 1 more time. Ta Ta Twitterworld,neutral,0.76,0.18,0.06,0.12,neutral
48,10153,dd4978c8b7," I`m suffering from the Internet that works bad, only sites hosted on russian servers are available for me",negative,0.0,0.0,1.0,-1.0,negative
49,10454,0e856f8823, Yes because I haven`t worn jeans in ages,neutral,0.05,0.91,0.04,0.87,positive
50,236,ed084a1fa7,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,0.05,0.95,0.0,0.95,positive
51,24286,5de255b7cb," Thanks!  Your name strikes me every time I see it, as a friend of mine uses belofsouthie as her email",positive,0.25,0.5,0.25,0.25,mixed
52,24519,fe0dc960ea,mum just made me cry coz she said something so sweet to me  i love her so much! MUMS ARE THE BEST!,positive,0.0,1.0,0.0,1.0,positive
53,4440,cc732ad472,"7846 - almost catching  up, so gonna kick her ****, and woop i will b joing the 10k mile high club soon",negative,0.39,0.56,0.05,0.51,positive
54,2490,98c0376ba8, bahah that would be really funny she would be really cut haha,positive,0.01,0.99,0.0,0.99,positive
55,26569,93000a69d3,Drinking coffee....MMMMM.....coffee,neutral,0.7,0.29,0.01,0.27999999999999997,neutral
56,10322,6ec8eb9348, Ohhhh! Ok! thought that I was going nuts!! Maybe they will pass through here on the way back!,positive,0.24,0.13,0.63,-0.5,negative
57,17306,c0b5db0b3d, Thanx sis I`ll b sure to let them know how many people r praying w/them...,positive,0.04,0.96,0.0,0.96,positive
58,18322,a6c4a1d9c7,_Mom Maybe people would start looking for us... like 'where`s Waldo' but 'where`s the CKC'?,neutral,0.69,0.2,0.11,0.09000000000000001,neutral
59,13992,f2bc1cff88,Just had mothers day lunch here  http://twitpic.com/4wfeo,neutral,0.92,0.04,0.04,0.0,neutral
60,23318,2a2b8edf2b,"happy mother`s day, mommy! hope you will have a good day",positive,0.21,0.78,0.01,0.77,positive
61,12502,066a730dbc,my body is aching. I can barely move...but its worth it to be champs,negative,0.18,0.28,0.54,-0.26,mixed
62,9239,7544811702,_precious06 sooo mad,neutral,0.0,0.0,1.0,-1.0,negative
63,24890,ff6d7db82a,"Back from SOAP, soooo fun.",positive,0.0,1.0,0.0,1.0,positive
64,1150,aa189955b1,  BUT THEY ARE EXPENSIVE.,negative,0.0,0.0,1.0,-1.0,negative
65,27189,68db75e4db, dont get too excited bby i hear thunder rolling in,negative,0.02,0.02,0.96,-0.94,negative
66,14094,8891e37f34, But yeah...I`m sad about my 'Ravenclaw' account. I love that account to bits.,neutral,0.0,0.5,0.5,0.0,mixed
67,22264,3646168972,"Whataburger closing all locations but tally  so harsh, might have to transfer schools",negative,0.0,0.0,1.0,-1.0,negative
68,26270,2034d6dcb2, yes ma`am u do have a pretty smile. but you also won`t eat chipotle with me.,neutral,0.05,0.95,0.0,0.95,positive
69,25756,b7c40eced7,i am up - dont want to be though  wish i had slept in more heather woke me up. i`ve got to work later but first i will read some twilight!,negative,0.2,0.67,0.13,0.54,positive
70,16990,417aa1add9,"#Beijing Good massage for you & Sexy girl & 100% real photo  13341015518 - w4 (Beijing): Hi, .. http://tinyurl.com/c48m6r",positive,0.79,0.21,0.0,0.21,neutral
71,3906,c6d9ab4ad1,"http://twitpic.com/4wry2 - look, , the rosemary in my back garden, in CameraBag`s 'Lolo' mode",neutral,0.87,0.12,0.01,0.11,neutral
72,24884,7c3b508210, y r we giving up on people?  I actually thought that way for a while too before I found someone who is very intriguing,neutral,0.06,0.01,0.93,-0.92,negative
73,22576,bb09bdd8b2,i dyed my hair back to super black again!,neutral,0.84,0.12,0.04,0.07999999999999999,neutral
74,23907,ff1462ff46,Mourning Venus` Third Round Loss....,negative,0.67,0.01,0.32,-0.31,neutral
75,22421,58c5ff24c8,thanks gourmetcook! But cold shower wouldn`t help.,negative,0.01,0.49,0.5,-0.010000000000000009,mixed
76,20999,77dbfbfb73,Tonight`s SNL does not dissapoint. LOL,negative,0.04,0.88,0.08,0.8,positive
77,6640,b26deb5da5, same thing happens to me all the time,neutral,0.97,0.01,0.02,-0.01,neutral
78,19452,7c2a0bb3de,Loving the cairns clan,positive,0.0,1.0,0.0,1.0,positive
79,20918,672988516f, YES!!,neutral,0.91,0.07,0.02,0.05,neutral
80,4471,93e36f1caf,"Don`t know what to do right now...pretty bored, but I refuse to study. Any suggestions?",negative,0.0,0.0,1.0,-1.0,negative
81,12119,93cc9e2e1d,I am officially a kindergarten cop,neutral,0.89,0.08,0.03,0.05,neutral
82,24438,a34bfcb613,making margaritas and about to watch Milk. Good times,positive,0.19,0.79,0.02,0.77,positive
83,18153,09162e0abc," Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",positive,0.12,0.82,0.06,0.76,positive
84,20688,e01f0511a0,touchin the starss,neutral,0.66,0.31,0.03,0.28,neutral
85,276,894e188d01,HAPPY MOTHERS DAY.!,positive,0.27,0.71,0.02,0.69,positive
86,14580,d29ac7e599, What happened to Dave?,neutral,0.75,0.2,0.05,0.15000000000000002,neutral
87,524,f383ad9856,Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,positive,0.0,1.0,0.0,1.0,positive
88,25006,8ba7a1720e," and by the way it`s short stack, not sway sway  sway sway baby is a song of theirs",neutral,0.84,0.01,0.15,-0.13999999999999999,neutral
89,11625,74eb9eb872,Why did I agree to work on this gorgeous day?,neutral,0.0,1.0,0.0,1.0,positive
90,483,16370c0a2e,I`m missing crab legs and attending my going away instead!,negative,0.46,0.12,0.42,-0.3,neutral
91,23755,f079511098,New baby arrived yesterday. A fab baby boy at 2.8 kilo  Very proud and happy,positive,0.0,1.0,0.0,1.0,positive
92,3269,fdf5222cca,Which would be a lot easier to get if plane tickets to AZ didnt raise $80 in price,positive,0.01,0.87,0.12,0.75,positive
93,20627,33c3801dfd,i`m just sooo in love....i think,positive,0.0,1.0,0.0,1.0,positive
94,26614,93bd3f9324, ohhhhh with ya,neutral,0.72,0.24,0.04,0.19999999999999998,neutral
95,22848,c5bee8f356,Just chillin`.. I`m a bit bored boohoo  !,neutral,0.01,0.01,0.98,-0.97,negative
96,22227,807a71e9d1, i cannot deal w/ this tweet. lol.,negative,0.23,0.48,0.29,0.19,mixed
